timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595243136177,122,POST Login PT,500,Internal Server Error,Thread Group 1-192,text,false,,15021,298,284,284,http://localhost:8084/PersonalTrainer/api/login,118,0,40
1595243136208,91,POST Login PT,500,Internal Server Error,Thread Group 1-261,text,false,,11739,298,284,284,http://localhost:8084/PersonalTrainer/api/login,90,0,0
1595243136155,143,POST Login PT,500,Internal Server Error,Thread Group 1-68,text,false,,11739,297,284,284,http://localhost:8084/PersonalTrainer/api/login,134,0,53
1595243136162,178,POST Login PT,500,Internal Server Error,Thread Group 1-172,text,false,,11739,298,287,287,http://localhost:8084/PersonalTrainer/api/login,153,0,55
1595243136205,94,POST Login PT,500,Internal Server Error,Thread Group 1-259,text,false,,11739,298,284,284,http://localhost:8084/PersonalTrainer/api/login,94,0,3
1595243136153,192,POST Login PT,200,OK,Thread Group 1-103,text,true,,357,298,289,289,http://localhost:8084/PersonalTrainer/api/login,192,0,54
1595243136160,192,POST Login PT,200,OK,Thread Group 1-143,text,true,,357,298,291,291,http://localhost:8084/PersonalTrainer/api/login,191,0,48
1595243136163,136,POST Login PT,500,Internal Server Error,Thread Group 1-174,text,false,,11739,298,284,284,http://localhost:8084/PersonalTrainer/api/login,112,0,46
1595243136208,91,POST Login PT,500,Internal Server Error,Thread Group 1-262,text,false,,11739,298,284,284,http://localhost:8084/PersonalTrainer/api/login,57,0,0
1595243136149,171,POST Login PT,500,Internal Server Error,Thread Group 1-1,text,false,,11739,297,284,284,http://localhost:8084/PersonalTrainer/api/login,171,0,67
1595243136152,215,POST Login PT,500,Internal Server Error,Thread Group 1-47,text,false,,15021,296,286,286,http://localhost:8084/PersonalTrainer/api/login,215,0,56
1595243136151,227,POST Login PT,500,Internal Server Error,Thread Group 1-71,text,false,,15021,297,293,293,http://localhost:8084/PersonalTrainer/api/login,227,0,64
1595243136199,186,POST Login PT,500,Internal Server Error,Thread Group 1-239,text,false,,11739,298,292,292,http://localhost:8084/PersonalTrainer/api/login,186,0,21
1595243136193,197,POST Login PT,500,Internal Server Error,Thread Group 1-227,text,false,,11739,298,292,292,http://localhost:8084/PersonalTrainer/api/login,197,0,26
1595243136152,259,POST Login PT,500,Internal Server Error,Thread Group 1-87,text,false,,15021,297,294,294,http://localhost:8084/PersonalTrainer/api/login,259,0,56
